"id","murmur32","md5","sha512","sha1","sha256","crc32","xxhash32","spookyhash"
1,3,5,5,5,10,13,6,5
2,9,3,17,7,9,8,8,8
3,9,3,5,13,6,4,1,11
4,8,8,8,3,4,9,8,7
5,4,5,12,6,11,5,6,3
6,5,4,5,8,11,12,2,6
7,10,8,5,5,5,9,6,12
8,7,7,6,0,0,20,12,7
9,6,4,7,9,10,12,8,9
10,2,7,3,4,4,19,7,7
11,0,6,5,16,3,7,8,7
12,10,3,3,9,9,7,2,8
13,8,3,5,7,4,9,11,10
14,7,7,9,4,3,27,4,5
15,4,6,9,8,6,9,12,11
16,7,9,9,1,2,17,11,7
17,7,10,3,4,9,10,5,12
18,5,9,3,7,10,18,7,8
19,3,9,9,5,8,11,12,7
20,6,5,4,11,5,4,5,3
21,0,3,2,15,10,3,5,10
22,2,4,13,6,2,12,5,7
23,3,8,3,10,5,8,7,6
24,4,8,9,7,6,14,14,10
25,11,8,9,4,2,13,6,5
26,8,5,8,4,4,5,8,9
27,9,7,9,7,10,7,6,5
28,5,3,5,12,12,4,10,4
29,12,6,7,10,7,7,14,4
30,6,6,7,10,6,11,7,11
31,2,10,11,7,3,7,5,10
32,4,4,11,7,8,10,9,7
33,3,9,8,5,6,12,12,8
34,3,5,4,6,6,11,6,9
35,8,13,3,5,3,11,12,3
36,14,4,3,4,7,11,4,7
37,3,8,6,6,4,7,4,6
38,5,11,6,4,3,6,5,4
39,4,4,5,8,9,7,8,5
40,3,7,9,9,10,8,6,4
41,5,10,9,3,8,7,8,5
42,13,9,9,10,4,19,4,7
43,8,8,7,8,5,13,8,1
44,4,12,7,2,4,9,4,5
45,6,7,11,5,3,10,10,4
46,3,6,8,5,8,7,12,4
47,5,3,8,17,2,13,5,5
48,3,4,5,16,7,18,11,9
49,6,6,8,12,6,5,2,2
50,6,3,4,3,9,8,1,5
51,4,3,8,10,6,11,6,7
52,9,8,7,3,10,21,4,17
53,9,5,9,6,4,17,7,8
54,9,10,5,7,8,10,11,8
55,4,5,4,5,5,14,8,6
56,3,4,3,2,2,11,6,7
57,1,6,13,8,6,6,7,3
58,7,5,12,9,3,7,6,6
59,5,8,13,5,4,9,4,7
60,12,7,0,9,8,18,8,8
61,4,3,6,13,8,6,4,6
62,8,9,1,11,7,7,9,6
63,4,5,9,7,3,12,8,3
64,7,10,14,4,8,14,7,5
65,8,6,9,2,7,11,5,6
66,5,16,5,2,8,7,5,7
67,9,10,9,10,3,13,7,3
68,6,7,7,9,6,4,10,4
69,3,7,9,11,3,11,6,10
70,15,9,6,7,2,19,6,3
71,6,9,3,11,6,7,7,6
72,8,6,2,7,3,14,4,3
73,4,6,8,5,6,17,8,4
74,3,5,3,3,2,13,5,7
75,6,3,3,9,7,5,5,10
76,10,5,4,4,14,12,12,8
77,6,5,5,15,7,5,6,10
78,9,3,4,2,3,22,4,4
79,9,4,6,10,10,10,6,11
80,7,5,7,9,7,22,9,9
81,11,2,2,12,4,7,12,7
82,3,6,5,9,12,9,6,4
83,6,6,10,9,5,4,14,7
84,3,6,5,5,3,9,5,2
85,6,6,6,5,8,17,6,6
86,4,2,11,4,7,1,3,9
87,3,3,1,6,5,18,6,12
88,9,5,3,3,7,12,1,4
89,4,9,5,7,14,8,5,11
90,4,7,6,4,11,6,2,5
91,9,6,5,4,8,5,3,4
92,4,4,10,11,5,6,7,9
93,7,11,5,6,4,12,10,8
94,1,6,6,6,7,15,4,5
95,7,11,3,7,8,14,2,12
96,4,4,6,7,11,10,4,5
97,5,4,5,11,3,5,6,7
98,9,6,6,9,6,14,10,1
99,6,5,5,13,17,17,5,6
100,9,9,8,12,9,6,11,4
101,7,6,8,7,4,10,11,2
102,8,4,7,5,6,9,4,5
103,12,12,5,4,3,19,5,6
104,6,5,6,6,9,10,4,7
105,8,11,13,8,17,10,2,6
106,6,7,8,9,10,9,10,8
107,10,12,3,9,2,13,8,7
108,8,7,13,5,3,18,8,5
109,6,9,7,5,5,10,2,8
110,4,13,6,6,12,24,2,9
111,12,9,7,4,8,10,9,10
112,4,6,7,5,9,12,1,6
113,12,4,9,7,6,18,9,5
114,2,13,14,4,3,5,3,6
115,4,8,7,7,27,15,3,7
116,4,4,3,5,2,8,5,5
117,7,9,4,8,8,13,7,11
118,6,3,5,4,7,6,9,5
119,8,2,0,7,11,4,2,9
120,9,6,6,14,3,8,9,10
121,8,6,11,5,6,16,2,2
122,5,8,2,12,7,3,6,4
123,4,7,3,4,10,11,9,8
124,4,3,6,3,6,4,5,6
125,5,1,5,7,4,10,4,5
126,5,2,6,2,3,1,8,6
127,10,7,4,7,7,7,15,3
128,5,3,9,7,6,18,5,4
129,8,1,10,10,8,7,5,14
130,6,8,6,7,9,6,8,10
131,9,6,5,9,11,7,11,4
132,5,2,3,5,2,10,7,8
133,4,6,7,3,4,13,4,7
134,5,9,7,8,10,8,4,8
135,9,3,5,20,5,6,9,3
136,4,17,6,8,5,10,7,4
137,3,10,13,6,1,5,6,13
138,4,4,6,6,5,6,6,7
139,14,7,13,9,1,13,3,4
140,11,9,10,8,5,6,6,4
141,6,1,9,5,8,4,13,5
142,5,5,7,12,6,11,6,7
143,6,1,15,7,7,16,2,17
144,7,6,8,6,7,8,4,7
145,6,11,3,0,12,19,4,9
146,4,4,1,7,3,14,5,4
147,5,4,6,8,7,7,5,13
148,4,4,2,1,8,18,4,4
149,7,8,9,3,8,18,6,2
150,6,2,7,8,8,12,5,9
151,10,6,2,4,3,9,12,13
152,4,13,2,2,5,7,4,7
153,5,7,2,7,8,6,6,9
154,5,9,5,12,9,10,6,4
155,4,4,4,7,12,6,3,3
156,6,4,6,6,6,9,10,5
157,5,7,8,7,6,7,5,11
158,8,3,5,4,7,12,6,5
159,4,7,3,5,7,3,9,4
160,6,5,1,8,8,8,1,8
161,7,2,7,9,6,8,8,6
162,8,3,10,11,7,21,6,9
163,0,5,4,4,10,6,3,6
164,8,2,4,7,3,4,5,8
165,9,12,6,11,6,12,12,7
166,5,7,5,6,8,10,5,7
167,7,4,8,9,6,17,4,3
168,4,7,5,3,1,7,8,1
169,2,9,4,4,9,7,12,4
170,12,5,7,4,3,3,8,10
171,4,6,4,6,9,14,7,7
172,7,5,4,7,6,20,4,5
173,6,5,3,5,5,12,9,2
174,6,7,4,4,6,14,4,5
175,9,10,9,5,9,8,3,7
176,7,9,12,3,2,6,6,8
177,2,4,20,3,5,9,3,9
178,7,8,3,6,9,10,3,6
179,3,12,8,4,3,4,4,7
180,1,9,8,9,4,11,4,3
181,3,2,3,7,7,6,4,8
182,6,5,5,4,4,11,3,5
183,11,7,4,5,5,8,11,6
184,2,3,4,4,5,8,6,2
185,10,11,14,4,8,8,11,10
186,6,3,8,8,6,13,10,6
187,5,7,6,6,9,20,7,5
188,8,5,7,7,3,13,9,5
189,13,4,2,7,5,7,4,5
190,10,19,4,5,3,7,6,5
191,4,4,8,1,2,8,9,7
192,12,9,7,10,7,14,12,6
193,9,5,10,6,5,4,3,6
194,5,5,5,13,5,8,5,7
195,5,3,10,4,4,9,11,6
196,7,7,9,10,7,11,0,7
197,7,4,13,8,10,5,8,5
198,3,6,9,7,5,8,9,7
199,6,6,7,6,5,5,11,8
200,11,10,8,10,9,7,1,8
201,5,11,4,12,7,11,12,13
202,5,4,13,8,8,10,10,5
203,6,3,8,16,2,12,4,3
204,6,2,8,8,7,4,8,3
205,3,7,10,9,6,11,6,6
206,5,5,8,1,5,9,4,4
207,5,9,6,9,8,7,3,6
208,13,2,6,9,7,9,5,6
209,9,8,8,9,5,9,13,8
210,5,13,3,8,9,16,8,8
211,6,9,7,5,2,10,5,9
212,9,7,7,8,4,13,12,7
213,3,12,9,3,4,7,7,7
214,6,10,3,8,10,12,4,6
215,7,10,7,5,6,8,10,7
216,6,8,10,9,6,6,6,5
217,12,8,6,4,3,8,4,14
218,3,4,3,4,2,7,7,10
219,4,9,4,7,6,7,15,7
220,4,8,4,2,5,11,7,3
221,7,12,6,5,4,8,3,8
222,3,5,9,14,5,5,6,6
223,2,9,2,13,0,8,9,4
224,6,11,4,5,1,9,2,5
225,7,8,7,9,3,7,7,8
226,5,5,11,7,8,13,6,9
227,11,5,6,8,4,12,11,4
228,8,3,6,8,8,19,6,15
229,8,8,4,5,2,10,7,4
230,2,7,7,7,4,13,3,17
231,2,8,5,7,9,5,8,3
232,8,7,9,10,7,5,8,3
233,4,5,7,10,3,4,4,6
234,2,6,5,2,12,4,10,0
235,5,8,3,4,8,12,9,3
236,10,7,9,2,7,14,9,4
237,6,4,5,13,6,7,5,6
238,8,6,7,6,2,9,2,8
239,8,8,8,3,3,3,12,6
240,2,5,4,4,9,10,6,7
241,6,2,6,7,11,5,4,4
242,9,5,6,7,6,9,9,5
243,2,2,9,11,8,9,4,5
244,7,6,6,2,8,11,8,12
245,5,6,7,6,0,14,2,7
246,11,7,8,9,4,3,2,5
247,4,6,5,1,3,17,9,4
248,8,6,4,6,4,4,4,5
249,6,6,6,5,2,8,9,8
250,6,14,7,3,5,5,8,3
251,8,7,5,6,8,7,9,3
252,9,3,10,8,9,13,7,5
253,19,6,9,5,3,10,11,5
254,10,5,7,11,9,9,3,10
255,1,8,7,5,6,9,3,6
256,8,13,6,12,11,6,5,8
257,11,8,5,9,4,7,1,3
258,5,4,5,5,4,6,5,8
259,5,7,7,8,2,10,8,6
260,11,10,8,4,14,6,13,8
261,5,9,9,6,8,11,5,9
262,3,7,8,6,8,8,4,2
263,3,2,10,9,3,14,10,6
264,3,8,10,9,8,13,3,12
265,13,2,7,5,4,5,10,9
266,13,7,6,8,3,3,5,8
267,6,8,5,9,2,7,11,6
268,5,3,3,11,6,10,4,7
269,4,6,9,8,3,5,6,4
270,7,1,4,6,7,14,6,14
271,9,13,8,6,7,4,6,7
272,8,8,6,2,3,15,9,4
273,12,11,5,6,12,8,9,14
274,9,3,3,3,2,10,8,10
275,3,3,3,11,4,13,6,3
276,6,4,10,11,5,2,5,7
277,4,8,3,10,6,9,2,4
278,5,6,9,3,5,15,6,9
279,9,3,13,11,7,8,5,6
280,5,10,7,6,4,8,8,9
281,7,7,7,4,11,5,8,5
282,9,7,7,10,12,13,7,5
283,7,1,13,2,12,10,10,6
284,9,4,4,3,6,5,5,9
285,10,10,8,11,4,14,4,9
286,8,5,4,6,9,16,3,7
287,10,8,3,11,13,18,5,11
288,2,4,8,4,6,6,6,4
289,4,9,8,9,8,2,10,4
290,4,5,3,4,11,13,2,10
291,9,1,7,11,6,7,5,6
292,10,7,10,1,5,11,5,6
293,9,11,8,6,9,3,4,7
294,14,2,9,6,5,6,3,5
295,8,5,6,10,3,8,11,4
296,1,6,4,7,4,12,12,10
297,10,9,17,8,6,13,3,7
298,12,5,12,7,8,6,8,11
299,8,5,8,4,3,6,6,12
300,6,0,9,3,3,8,9,7
301,10,5,8,8,6,14,10,5
302,6,4,5,11,3,11,5,4
303,8,6,11,5,14,8,2,9
304,10,5,4,9,3,7,14,8
305,8,7,5,14,16,5,14,9
306,2,8,10,15,2,14,9,7
307,5,5,4,7,6,6,5,13
308,8,3,7,6,4,11,4,5
309,8,6,3,4,9,8,9,8
310,3,10,9,4,3,10,3,5
311,5,3,13,7,8,14,14,10
312,4,9,5,10,10,9,17,9
313,9,6,7,5,7,20,5,4
314,8,9,4,3,6,9,11,3
315,3,8,9,3,10,11,7,4
316,8,10,5,6,16,17,3,6
317,4,5,7,9,8,18,7,6
318,7,3,4,9,9,9,5,2
319,7,7,2,3,13,14,6,5
320,5,10,8,5,5,11,2,8
321,4,11,4,3,8,8,3,2
322,10,5,5,11,8,6,7,6
323,8,8,5,3,7,10,2,10
324,5,5,4,5,6,5,5,9
325,3,11,6,1,6,1,4,7
326,8,10,7,8,5,13,5,5
327,8,7,5,12,6,8,5,5
328,7,7,9,14,1,7,5,8
329,5,6,4,9,6,12,3,3
330,2,7,3,3,9,10,8,8
331,15,11,7,3,4,19,7,5
332,5,5,7,5,3,9,3,4
333,7,5,8,9,8,10,6,4
334,2,10,3,7,5,12,5,6
335,5,9,9,10,6,11,5,9
336,6,8,5,5,5,2,5,12
337,1,7,7,5,8,9,11,9
338,5,1,9,7,5,8,6,3
339,8,6,3,7,5,8,7,8
340,3,4,7,4,5,11,5,5
341,8,5,4,6,4,9,4,6
342,2,7,8,5,5,8,16,3
343,1,13,8,14,9,11,10,5
344,6,8,7,6,9,18,11,4
345,4,6,5,8,6,9,2,13
346,12,5,10,4,7,9,10,4
347,7,5,8,3,8,9,8,9
348,4,7,6,6,15,19,5,4
349,5,8,8,9,3,9,3,2
350,3,9,4,10,12,9,4,10
351,5,5,8,1,5,15,9,5
352,10,3,5,3,6,13,16,5
353,5,8,6,5,7,13,6,13
354,4,3,3,9,6,16,11,7
355,6,4,9,9,6,9,8,3
356,8,8,12,7,6,13,10,4
357,8,9,8,6,7,18,6,4
358,5,12,4,5,9,15,12,5
359,11,10,8,11,8,10,6,6
360,10,7,8,9,4,9,7,7
361,8,6,2,7,6,6,8,13
362,1,4,2,6,6,8,6,5
363,5,16,3,7,11,6,5,5
364,3,6,4,4,3,17,7,10
365,5,8,8,4,4,12,5,8
366,5,2,9,4,10,10,7,3
367,5,6,11,6,7,10,8,10
368,5,2,3,7,6,8,3,11
369,3,3,5,7,4,9,12,2
370,11,2,6,3,8,11,4,6
371,4,10,9,5,13,9,9,8
372,7,4,8,10,6,6,6,2
373,6,5,7,7,7,6,6,5
374,4,3,5,4,3,13,3,5
375,5,6,2,21,2,10,5,3
376,6,7,9,7,4,15,12,11
377,5,3,6,12,3,5,8,7
378,6,9,7,8,4,9,8,4
379,2,5,7,7,6,11,10,7
380,2,5,12,7,8,5,6,11
381,12,10,5,6,3,6,10,15
382,3,6,4,7,8,11,8,19
383,4,5,2,5,7,15,4,6
384,4,4,5,3,7,14,3,8
385,11,6,3,2,8,18,7,8
386,4,6,5,8,3,14,7,11
387,7,2,6,6,4,11,8,6
388,8,10,4,16,9,10,7,3
389,16,7,2,6,11,11,2,3
390,10,8,13,9,8,8,6,9
391,6,5,7,3,1,6,4,10
392,1,7,8,10,6,8,6,5
393,2,4,7,6,4,13,5,6
394,7,11,4,8,7,10,8,11
395,5,6,8,11,4,11,11,8
396,8,3,11,6,4,5,8,7
397,3,6,10,9,4,11,5,3
398,7,4,4,4,7,3,14,7
399,13,9,12,5,11,5,7,3
400,5,3,3,4,5,8,4,4
401,1,6,4,10,5,7,4,2
402,5,6,5,11,7,4,12,7
403,5,4,10,7,13,17,5,3
404,11,10,9,4,5,14,3,10
405,4,11,4,6,5,14,6,3
406,8,8,14,3,13,5,5,8
407,9,10,5,7,8,4,4,5
408,1,7,10,13,4,12,4,8
409,9,9,2,9,5,21,10,8
410,8,4,5,3,3,4,11,10
411,7,2,5,7,3,16,7,2
412,9,2,12,9,5,18,8,7
413,7,6,8,14,15,7,12,7
414,1,8,11,10,5,21,9,5
415,8,9,1,7,6,5,8,2
416,4,7,8,8,2,8,10,5
417,8,6,5,4,11,16,7,9
418,8,7,7,4,5,8,10,5
419,7,4,5,3,11,6,1,13
420,6,7,4,9,9,9,3,8
421,7,6,9,5,6,10,5,3
422,13,7,6,5,6,14,4,18
423,4,8,4,8,10,9,7,14
424,7,5,6,8,6,6,5,5
425,2,8,5,6,6,6,4,3
426,6,6,4,8,6,9,7,8
427,10,6,7,4,8,16,7,6
428,4,7,7,10,5,12,2,1
429,4,9,6,5,9,13,2,16
430,6,6,5,6,10,17,11,4
431,8,2,5,7,4,12,1,8
432,15,14,6,4,4,6,1,6
433,8,3,13,5,2,4,8,9
434,5,7,3,1,5,8,8,4
435,9,0,12,7,4,9,4,13
436,4,4,5,10,6,11,7,7
437,13,10,6,6,8,7,6,8
438,5,4,8,5,8,15,11,1
439,6,12,5,10,9,16,6,7
440,3,11,6,16,13,6,5,6
441,12,7,19,6,5,17,4,8
442,7,8,8,7,6,14,9,8
443,5,5,6,9,4,6,7,3
444,15,10,5,4,8,5,5,2
445,7,4,10,3,7,6,1,9
446,7,6,7,8,6,11,5,9
447,5,4,5,1,8,13,4,7
448,4,7,6,6,4,8,10,5
449,9,7,10,6,3,7,6,7
450,9,5,7,6,8,16,11,7
451,2,11,5,5,10,11,6,12
452,10,5,10,2,10,8,7,3
453,5,7,10,12,5,11,2,7
454,7,10,5,4,5,11,9,9
455,8,7,10,5,6,9,5,4
456,7,5,5,3,6,18,5,6
457,20,7,6,5,6,11,4,7
458,7,5,3,5,3,2,5,0
459,4,1,10,10,11,4,4,8
460,4,10,5,4,5,9,3,7
461,11,6,3,5,4,7,6,6
462,9,4,8,8,2,18,7,3
463,6,11,11,2,5,5,13,8
464,2,4,5,8,10,6,3,7
465,2,1,3,6,11,10,4,8
466,6,10,8,10,12,16,2,4
467,6,9,6,4,5,18,4,7
468,9,5,4,8,7,11,4,4
469,6,12,4,4,12,6,5,12
470,6,7,6,6,5,11,6,10
471,5,9,4,1,4,9,9,7
472,1,5,10,2,2,13,7,6
473,8,8,8,4,8,9,5,2
474,7,6,12,5,12,6,6,12
475,3,2,4,5,4,15,6,5
476,4,8,2,2,7,17,9,3
477,11,3,3,7,9,9,3,9
478,7,4,5,8,1,4,8,5
479,12,6,9,7,8,17,5,8
480,7,6,10,9,8,8,8,6
481,8,8,6,4,2,7,8,7
482,10,6,4,4,3,3,4,9
483,12,4,7,2,4,17,1,2
484,15,6,6,3,3,5,8,10
485,2,6,4,10,9,7,8,2
486,7,6,3,5,11,4,7,3
487,7,5,6,10,7,6,5,9
488,7,4,3,4,4,9,2,7
489,4,12,2,4,3,9,6,7
490,7,9,2,8,8,3,7,9
491,4,6,6,3,10,6,5,6
492,1,11,4,7,5,28,9,7
493,12,12,5,4,4,14,9,9
494,10,8,12,11,8,12,4,12
495,10,6,6,6,16,10,8,4
496,11,0,7,7,6,6,6,5
497,8,13,5,5,4,8,3,3
498,7,15,5,8,6,9,10,12
499,0,11,15,10,8,8,4,9
500,11,2,5,7,5,13,5,1